symbol,instrument_key,open,high,low,close,volume,timestamp
HDFCBANK,NSE_EQ|INE040A01034,747.5,753.5,744.6,752.3,8677634,2021-12-01
HDFCBANK,NSE_EQ|INE040A01034,752.2,764.4,750.0,762.9,11203110,2021-12-02
HDFCBANK,NSE_EQ|INE040A01034,762.9,768.0,753.5,756.8,8124694,2021-12-03
HDFCBANK,NSE_EQ|INE040A01034,756.5,759.4,748.7,751.9,7029532,2021-12-06
HDFCBANK,NSE_EQ|INE040A01034,757.0,766.0,755.0,762.8,12427534,2021-12-07
HDFCBANK,NSE_EQ|INE040A01034,768.0,777.5,767.0,776.9,15295534,2021-12-08
HDFCBANK,NSE_EQ|INE040A01034,772.6,777.4,761.0,763.4,11747744,2021-12-09
HDFCBANK,NSE_EQ|INE040A01034,762.4,764.0,754.2,761.3,7779384,2021-12-10
HDFCBANK,NSE_EQ|INE040A01034,763.0,768.8,753.6,755.6,10322142,2021-12-13
HDFCBANK,NSE_EQ|INE040A01034,751.2,758.0,748.5,751.2,9191100,2021-12-14
HDFCBANK,NSE_EQ|INE040A01034,751.5,761.7,747.8,750.0,10115148,2021-12-15
HDFCBANK,NSE_EQ|INE040A01034,756.4,758.5,747.0,750.0,13210432,2021-12-16
HDFCBANK,NSE_EQ|INE040A01034,748.5,753.0,733.8,736.5,14994768,2021-12-17
HDFCBANK,NSE_EQ|INE040A01034,726.0,729.0,707.0,712.8,21156668,2021-12-20
HDFCBANK,NSE_EQ|INE040A01034,719.8,725.4,715.0,720.9,9118750,2021-12-21
HDFCBANK,NSE_EQ|INE040A01034,726.2,728.0,717.8,722.6,8577484,2021-12-22
HDFCBANK,NSE_EQ|INE040A01034,726.6,728.9,718.4,722.0,9779166,2021-12-23
HDFCBANK,NSE_EQ|INE040A01034,722.8,726.0,714.0,719.4,5561024,2021-12-24
HDFCBANK,NSE_EQ|INE040A01034,714.4,727.0,711.1,725.4,4705098,2021-12-27
HDFCBANK,NSE_EQ|INE040A01034,730.4,733.4,726.7,730.4,5450678,2021-12-28
HDFCBANK,NSE_EQ|INE040A01034,728.0,730.5,723.7,726.9,7668702,2021-12-29
HDFCBANK,NSE_EQ|INE040A01034,729.2,733.4,722.5,730.8,7215918,2021-12-30
HDFCBANK,NSE_EQ|INE040A01034,730.8,742.4,730.8,739.7,6325736,2021-12-31
HDFCBANK,NSE_EQ|INE040A01034,742.5,761.5,740.2,759.8,9069184,2022-01-03
HDFCBANK,NSE_EQ|INE040A01034,760.0,766.4,753.9,764.3,8857352,2022-01-04
HDFCBANK,NSE_EQ|INE040A01034,768.4,786.0,764.0,782.4,14332638,2022-01-05
HDFCBANK,NSE_EQ|INE040A01034,771.5,777.4,765.0,769.9,9628930,2022-01-06
HDFCBANK,NSE_EQ|INE040A01034,772.0,783.4,768.0,775.3,11179384,2022-01-07
HDFCBANK,NSE_EQ|INE040A01034,779.0,786.0,772.8,779.6,8856496,2022-01-10
HDFCBANK,NSE_EQ|INE040A01034,780.8,784.4,773.9,783.0,8389198,2022-01-11
HDFCBANK,NSE_EQ|INE040A01034,784.0,788.3,776.0,778.3,21085530,2022-01-12
HDFCBANK,NSE_EQ|INE040A01034,777.5,777.5,760.2,764.0,41963896,2022-01-13
HDFCBANK,NSE_EQ|INE040A01034,765.0,774.4,759.5,772.6,11208968,2022-01-14
HDFCBANK,NSE_EQ|INE040A01034,765.0,778.0,759.6,760.8,22989372,2022-01-17
HDFCBANK,NSE_EQ|INE040A01034,766.5,775.4,761.5,764.6,12341152,2022-01-18
HDFCBANK,NSE_EQ|INE040A01034,767.0,769.9,756.7,759.2,14317626,2022-01-19
HDFCBANK,NSE_EQ|INE040A01034,764.2,764.2,750.0,754.5,15197846,2022-01-20
HDFCBANK,NSE_EQ|INE040A01034,750.0,764.9,742.8,760.8,11537694,2022-01-21
HDFCBANK,NSE_EQ|INE040A01034,755.0,760.6,733.8,743.3,11868508,2022-01-24
HDFCBANK,NSE_EQ|INE040A01034,729.3,747.5,722.0,744.0,13594248,2022-01-25
HDFCBANK,NSE_EQ|INE040A01034,725.0,742.5,717.5,737.5,28617838,2022-01-27
HDFCBANK,NSE_EQ|INE040A01034,738.8,743.4,730.0,731.6,24925208,2022-01-28
HDFCBANK,NSE_EQ|INE040A01034,736.4,745.8,733.4,742.8,12842546,2022-01-31
HDFCBANK,NSE_EQ|INE040A01034,754.2,758.5,736.7,748.5,14739484,2022-02-01
HDFCBANK,NSE_EQ|INE040A01034,756.0,767.5,752.8,765.6,13969290,2022-02-02
HDFCBANK,NSE_EQ|INE040A01034,764.4,770.0,754.5,757.7,10564762,2022-02-03
HDFCBANK,NSE_EQ|INE040A01034,764.2,766.4,757.0,762.0,11579958,2022-02-04
HDFCBANK,NSE_EQ|INE040A01034,756.0,759.5,730.0,734.1,12268042,2022-02-07
HDFCBANK,NSE_EQ|INE040A01034,738.2,739.2,722.3,730.9,13981130,2022-02-08
HDFCBANK,NSE_EQ|INE040A01034,737.0,749.8,733.5,748.8,11308342,2022-02-09
HDFCBANK,NSE_EQ|INE040A01034,757.0,767.8,750.8,762.6,14314530,2022-02-10
HDFCBANK,NSE_EQ|INE040A01034,750.1,762.5,749.8,759.4,10711104,2022-02-11
HDFCBANK,NSE_EQ|INE040A01034,745.0,749.7,734.6,736.8,14656620,2022-02-14
HDFCBANK,NSE_EQ|INE040A01034,738.0,762.4,736.5,758.9,13135066,2022-02-15
HDFCBANK,NSE_EQ|INE040A01034,767.2,767.4,753.5,757.9,10032264,2022-02-16
HDFCBANK,NSE_EQ|INE040A01034,756.6,761.0,751.0,753.2,7351208,2022-02-17
HDFCBANK,NSE_EQ|INE040A01034,749.2,758.5,745.2,756.2,7796128,2022-02-18
HDFCBANK,NSE_EQ|INE040A01034,752.0,765.4,747.8,761.0,7468066,2022-02-21
HDFCBANK,NSE_EQ|INE040A01034,744.9,761.0,744.0,755.4,9536196,2022-02-22
HDFCBANK,NSE_EQ|INE040A01034,762.6,762.8,747.8,750.4,9029562,2022-02-23
HDFCBANK,NSE_EQ|INE040A01034,725.0,737.5,703.6,709.7,23630766,2022-02-24
HDFCBANK,NSE_EQ|INE040A01034,720.0,733.0,716.4,728.0,18318654,2022-02-25
HDFCBANK,NSE_EQ|INE040A01034,713.0,719.3,707.0,713.1,24880832,2022-02-28
HDFCBANK,NSE_EQ|INE040A01034,693.2,699.2,677.2,687.1,38505560,2022-03-02
HDFCBANK,NSE_EQ|INE040A01034,690.5,696.0,681.4,685.5,17527922,2022-03-03
HDFCBANK,NSE_EQ|INE040A01034,680.0,693.0,668.4,683.2,21219364,2022-03-04
HDFCBANK,NSE_EQ|INE040A01034,659.2,666.2,648.5,662.4,27054458,2022-03-07
HDFCBANK,NSE_EQ|INE040A01034,651.1,667.0,646.0,663.9,39212492,2022-03-08
HDFCBANK,NSE_EQ|INE040A01034,665.0,687.4,659.4,685.6,23134694,2022-03-09
HDFCBANK,NSE_EQ|INE040A01034,713.5,713.5,690.1,696.4,22273206,2022-03-10
HDFCBANK,NSE_EQ|INE040A01034,694.0,704.5,686.4,698.4,15150780,2022-03-11
HDFCBANK,NSE_EQ|INE040A01034,707.5,725.0,707.5,721.3,25018126,2022-03-14
HDFCBANK,NSE_EQ|INE040A01034,721.8,724.8,705.9,712.0,18867928,2022-03-15
HDFCBANK,NSE_EQ|INE040A01034,723.5,727.5,718.1,724.1,13364108,2022-03-16
HDFCBANK,NSE_EQ|INE040A01034,736.0,744.9,735.3,740.0,14823954,2022-03-17
HDFCBANK,NSE_EQ|INE040A01034,743.5,746.8,736.4,743.2,12257876,2022-03-21
HDFCBANK,NSE_EQ|INE040A01034,740.6,749.0,728.6,747.1,10461814,2022-03-22
HDFCBANK,NSE_EQ|INE040A01034,753.5,759.4,736.8,739.6,31188256,2022-03-23
HDFCBANK,NSE_EQ|INE040A01034,733.0,734.8,717.3,721.3,20160044,2022-03-24
HDFCBANK,NSE_EQ|INE040A01034,725.5,726.0,709.5,715.4,16366462,2022-03-25
HDFCBANK,NSE_EQ|INE040A01034,715.4,719.0,700.8,716.4,15754886,2022-03-28
HDFCBANK,NSE_EQ|INE040A01034,720.5,730.1,715.0,725.9,12377448,2022-03-29
HDFCBANK,NSE_EQ|INE040A01034,736.0,741.4,727.0,738.5,20109742,2022-03-30
HDFCBANK,NSE_EQ|INE040A01034,735.5,742.4,733.0,735.2,14295714,2022-03-31
HDFCBANK,NSE_EQ|INE040A01034,738.2,755.0,735.2,753.0,14568556,2022-04-01
HDFCBANK,NSE_EQ|INE040A01034,790.0,861.0,781.3,828.4,97450970,2022-04-04
HDFCBANK,NSE_EQ|INE040A01034,833.4,833.4,801.0,804.1,30922582,2022-04-05
